,CA_GM38_1,CA_GM38_10,CA_GM38_11,CA_GM38_12,CA_GM38_13,CA_GM38_14,CA_GM38_15,CA_GM38_16,CA_GM38_17,CA_GM38_18,CA_GM38_19,CA_GM38_2,CA_GM38_3,CA_GM38_5,CA_GM38_6,CA_GM38_8,CA_GM38_9
CA_GM38_1,0,0.693147181,0.980829253,0.207639365,0.693147181,0.207639365,0.826678573,1.386294361,0.693147181,1.386294361,1.386294361,0.826678573,0.826678573,0.693147181,1.673976434,2.772588722,1.673976434
CA_GM38_10,0.693147181,0,1.386294361,0.693147181,0.980829253,0.693147181,1.386294361,1.16315081,0.693147181,1.16315081,2.079441542,0.980829253,0.826678573,0.980829253,2.772588722,2.772588722,2.772588722
CA_GM38_11,0.980829253,1.386294361,0,0.980829253,1.16315081,0.693147181,0.287682072,1.16315081,0.980829253,1.673976434,1.386294361,0.826678573,0.980829253,1.673976434,1.386294361,2.079441542,1.673976434
CA_GM38_12,0.207639365,0.693147181,0.980829253,0,0.826678573,0.470003629,1.16315081,1.386294361,0.826678573,1.673976434,2.079441542,0.826678573,0.693147181,0.826678573,1.673976434,2.772588722,1.673976434
CA_GM38_13,0.693147181,0.980829253,1.16315081,0.826678573,0,0.470003629,0.980829253,0.575364145,0.374693449,1.673976434,0.980829253,1.16315081,1.16315081,0.133531393,1.673976434,1.673976434,1.386294361
CA_GM38_14,0.207639365,0.693147181,0.693147181,0.470003629,0.470003629,0,0.575364145,0.980829253,0.693147181,1.16315081,1.16315081,0.693147181,0.980829253,0.693147181,1.673976434,2.079441542,1.673976434
CA_GM38_15,0.826678573,1.386294361,0.287682072,1.16315081,0.980829253,0.575364145,0,0.980829253,0.980829253,1.673976434,1.386294361,0.826678573,0.980829253,1.386294361,1.16315081,2.079441542,1.673976434
CA_GM38_16,1.386294361,1.16315081,1.16315081,1.386294361,0.575364145,0.980829253,0.980829253,0,0.470003629,2.079441542,1.16315081,1.673976434,1.16315081,0.826678573,1.386294361,1.673976434,1.16315081
CA_GM38_17,0.693147181,0.693147181,0.980829253,0.826678573,0.374693449,0.693147181,0.980829253,0.470003629,0,1.673976434,0.980829253,1.673976434,0.575364145,0.374693449,1.16315081,1.673976434,0.826678573
CA_GM38_18,1.386294361,1.16315081,1.673976434,1.673976434,1.673976434,1.16315081,1.673976434,2.079441542,1.673976434,0,2.079441542,1.16315081,1.673976434,1.673976434,0.980829253,2.079441542,1.386294361
CA_GM38_19,1.386294361,2.079441542,1.386294361,2.079441542,0.980829253,1.16315081,1.386294361,1.16315081,0.980829253,2.079441542,0,2.772588722,2.772588722,1.16315081,1.673976434,1.16315081,1.386294361
CA_GM38_2,0.826678573,0.980829253,0.826678573,0.826678573,1.16315081,0.693147181,0.826678573,1.673976434,1.673976434,1.16315081,2.772588722,0,1.386294361,1.673976434,1.673976434,2.772588722,2.772588722
CA_GM38_3,0.826678573,0.826678573,0.980829253,0.693147181,1.16315081,0.980829253,0.980829253,1.16315081,0.575364145,1.673976434,2.772588722,1.386294361,0,0.826678573,1.673976434,2.079441542,1.386294361
CA_GM38_5,0.693147181,0.980829253,1.673976434,0.826678573,0.133531393,0.693147181,1.386294361,0.826678573,0.374693449,1.673976434,1.16315081,1.673976434,0.826678573,0,1.16315081,1.386294361,0.980829253
CA_GM38_6,1.673976434,2.772588722,1.386294361,1.673976434,1.673976434,1.673976434,1.16315081,1.386294361,1.16315081,0.980829253,1.673976434,1.673976434,1.673976434,1.16315081,0,1.386294361,0.287682072
CA_GM38_8,2.772588722,2.772588722,2.079441542,2.772588722,1.673976434,2.079441542,2.079441542,1.673976434,1.673976434,2.079441542,1.16315081,2.772588722,2.079441542,1.386294361,1.386294361,0,1.16315081
CA_GM38_9,1.673976434,2.772588722,1.673976434,1.673976434,1.386294361,1.673976434,1.673976434,1.16315081,0.826678573,1.386294361,1.386294361,2.772588722,1.386294361,0.980829253,0.287682072,1.16315081,0
