,AZ_GM40_1,AZ_GM40_10,AZ_GM40_11,AZ_GM40_12,AZ_GM40_13,AZ_GM40_14,AZ_GM40_15,AZ_GM40_16,AZ_GM40_2,AZ_GM40_3,AZ_GM40_4,AZ_GM40_5,AZ_GM40_6,AZ_GM40_7,AZ_GM40_9
AZ_GM40_1,0,1.16315081,2.772588722,0.575364145,0.287682072,2.772588722,NA,0.980829253,1.673976434,2.079441542,0.470003629,0.693147181,0.693147181,1.673976434,1.673976434
AZ_GM40_10,1.16315081,0,1.673976434,0.287682072,0.826678573,1.673976434,2.772588722,1.673976434,2.772588722,NA,0.575364145,0.207639365,0.207639365,1.16315081,1.673976434
AZ_GM40_11,2.772588722,1.673976434,0,1.673976434,2.079441542,2.079441542,2.772588722,2.079441542,2.772588722,2.772588722,2.079441542,2.079441542,2.079441542,2.772588722,1.386294361
AZ_GM40_12,0.575364145,0.287682072,1.673976434,0,0.374693449,1.386294361,2.772588722,1.386294361,2.079441542,NA,0.207639365,0.207639365,0.207639365,1.16315081,1.386294361
AZ_GM40_13,0.287682072,0.826678573,2.079441542,0.374693449,0,1.386294361,2.772588722,0.980829253,2.079441542,2.772588722,0.287682072,0.693147181,0.693147181,2.079441542,2.079441542
AZ_GM40_14,2.772588722,1.673976434,2.079441542,1.386294361,1.386294361,0,1.673976434,2.772588722,0.207639365,2.772588722,1.673976434,1.673976434,1.673976434,NA,2.772588722
AZ_GM40_15,NA,2.772588722,2.772588722,2.772588722,2.772588722,1.673976434,0,2.772588722,2.079441542,0.207639365,NA,NA,NA,1.673976434,1.673976434
AZ_GM40_16,0.980829253,1.673976434,2.079441542,1.386294361,0.980829253,2.772588722,2.772588722,0,2.772588722,2.079441542,1.16315081,1.386294361,1.386294361,2.079441542,1.673976434
AZ_GM40_2,1.673976434,2.772588722,2.772588722,2.079441542,2.079441542,0.207639365,2.079441542,2.772588722,0,2.079441542,1.673976434,1.673976434,1.673976434,2.772588722,2.079441542
AZ_GM40_3,2.079441542,NA,2.772588722,NA,2.772588722,2.772588722,0.207639365,2.079441542,2.079441542,0,2.772588722,2.772588722,2.772588722,1.386294361,1.16315081
AZ_GM40_4,0.470003629,0.575364145,2.079441542,0.207639365,0.287682072,1.673976434,NA,1.16315081,1.673976434,2.772588722,0,0.287682072,0.287682072,1.16315081,1.386294361
AZ_GM40_5,0.693147181,0.207639365,2.079441542,0.207639365,0.693147181,1.673976434,NA,1.386294361,1.673976434,2.772588722,0.287682072,0,0,0.980829253,1.16315081
AZ_GM40_6,0.693147181,0.207639365,2.079441542,0.207639365,0.693147181,1.673976434,NA,1.386294361,1.673976434,2.772588722,0.287682072,0,0,0.980829253,1.16315081
AZ_GM40_7,1.673976434,1.16315081,2.772588722,1.16315081,2.079441542,NA,1.673976434,2.079441542,2.772588722,1.386294361,1.16315081,0.980829253,0.980829253,0,1.386294361
AZ_GM40_9,1.673976434,1.673976434,1.386294361,1.386294361,2.079441542,2.772588722,1.673976434,1.673976434,2.079441542,1.16315081,1.386294361,1.16315081,1.16315081,1.386294361,0
