,NM_GM43_10,NM_GM43_11,NM_GM43_12,NM_GM43_13,NM_GM43_14,NM_GM43_15,NM_GM43_16,NM_GM43_17,NM_GM43_18,NM_GM43_19,NM_GM43_2,NM_GM43_20,NM_GM43_21,NM_GM43_22,NM_GM43_23,NM_GM43_24,NM_GM43_26,NM_GM43_27,NM_GM43_28,NM_GM43_29,NM_GM43_3
NM_GM43_10,0,0.470003629,0.470003629,0.575364145,0.980829253,1.673976434,2.079441542,0.826678573,1.386294361,1.16315081,2.079441542,0.470003629,0.826678573,0.980829253,0,0.470003629,1.16315081,1.673976434,1.16315081,0.826678573,2.079441542
NM_GM43_11,0.470003629,0,0.575364145,0.693147181,0.980829253,NA,NA,0.826678573,0.980829253,2.079441542,1.673976434,0.470003629,0.826678573,2.079441542,0.470003629,0.470003629,1.386294361,1.673976434,2.772588722,0.826678573,1.386294361
NM_GM43_12,0.470003629,0.575364145,0,0.064538521,0.575364145,1.673976434,1.673976434,0.374693449,1.16315081,1.16315081,1.16315081,0.207639365,1.16315081,1.16315081,0.470003629,0.207639365,0.575364145,1.16315081,1.673976434,0.470003629,2.079441542
NM_GM43_13,0.575364145,0.693147181,0.064538521,0,0.470003629,1.673976434,1.673976434,0.287682072,1.16315081,1.16315081,1.16315081,0.287682072,1.386294361,1.16315081,0.575364145,0.287682072,0.470003629,1.16315081,1.673976434,0.374693449,2.079441542
NM_GM43_14,0.980829253,0.980829253,0.575364145,0.470003629,0,2.079441542,1.673976434,0.133531393,2.079441542,1.386294361,0.826678573,0.693147181,1.673976434,1.386294361,0.980829253,0.287682072,0.287682072,0.980829253,1.16315081,0.207639365,1.16315081
NM_GM43_15,1.673976434,NA,1.673976434,1.673976434,2.079441542,0,0.826678573,1.673976434,NA,1.673976434,1.386294361,1.673976434,2.772588722,2.079441542,1.673976434,2.079441542,1.673976434,0.470003629,0.980829253,1.673976434,NA
NM_GM43_16,2.079441542,NA,1.673976434,1.673976434,1.673976434,0.826678573,0,1.386294361,2.772588722,1.673976434,1.386294361,1.673976434,NA,2.079441542,2.079441542,2.079441542,1.16315081,1.16315081,0.826678573,1.16315081,2.079441542
NM_GM43_17,0.826678573,0.826678573,0.374693449,0.287682072,0.133531393,1.673976434,1.386294361,0,1.673976434,1.16315081,0.693147181,0.470003629,1.673976434,1.386294361,0.826678573,0.287682072,0.287682072,0.826678573,1.386294361,0.064538521,1.386294361
NM_GM43_18,1.386294361,0.980829253,1.16315081,1.16315081,2.079441542,NA,2.772588722,1.673976434,0,1.673976434,2.772588722,0.980829253,0.980829253,2.079441542,1.386294361,1.386294361,2.079441542,2.772588722,2.079441542,1.673976434,0.374693449
NM_GM43_19,1.16315081,2.079441542,1.16315081,1.16315081,1.386294361,1.673976434,1.673976434,1.16315081,1.673976434,0,1.673976434,0.826678573,2.079441542,0.207639365,1.16315081,1.16315081,1.16315081,1.386294361,2.079441542,1.16315081,1.16315081
NM_GM43_2,2.079441542,1.673976434,1.16315081,1.16315081,0.826678573,1.386294361,1.386294361,0.693147181,2.772588722,1.673976434,0,1.16315081,NA,2.772588722,2.079441542,0.980829253,0.980829253,0.470003629,0.826678573,0.693147181,1.673976434
NM_GM43_20,0.470003629,0.470003629,0.207639365,0.287682072,0.693147181,1.673976434,1.673976434,0.470003629,0.980829253,0.826678573,1.16315081,0,1.16315081,1.16315081,0.470003629,0.287682072,0.826678573,0.980829253,1.673976434,0.470003629,1.673976434
NM_GM43_21,0.826678573,0.826678573,1.16315081,1.386294361,1.673976434,2.772588722,NA,1.673976434,0.980829253,2.079441542,NA,1.16315081,0,2.079441542,0.826678573,0.980829253,2.079441542,2.772588722,NA,1.673976434,1.673976434
