,NM_GM48_10,NM_GM48_11,NM_GM48_12,NM_GM48_14,NM_GM48_15,NM_GM48_16,NM_GM48_17,NM_GM48_18,NM_GM48_19,NM_GM48_2,NM_GM48_20,NM_GM48_21,NM_GM48_3,NM_GM48_4,NM_GM48_5,NM_GM48_6,NM_GM48_7,NM_GM48_8,NM_GM48_9
NM_GM48_10,0,2.079441542,2.079441542,0.470003629,1.386294361,1.673976434,1.16315081,1.386294361,0.575364145,0.826678573,1.673976434,1.16315081,0.207639365,0.575364145,1.386294361,0.470003629,1.673976434,1.386294361,1.16315081
NM_GM48_11,2.079441542,0,1.16315081,2.772588722,NA,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542,2.772588722,NA,2.079441542,NA,2.772588722,2.772588722,2.772588722,2.772588722,2.079441542
NM_GM48_12,2.079441542,1.16315081,0,2.079441542,1.673976434,1.673976434,1.673976434,1.673976434,2.079441542,1.673976434,2.079441542,2.079441542,1.673976434,2.772588722,1.673976434,2.079441542,1.673976434,1.673976434,1.673976434
NM_GM48_14,0.470003629,2.772588722,2.079441542,0,2.079441542,1.673976434,1.386294361,1.16315081,1.386294361,0.575364145,2.079441542,1.16315081,0.693147181,0.693147181,1.16315081,0.980829253,1.386294361,1.16315081,0.980829253
NM_GM48_15,1.386294361,NA,1.673976434,2.079441542,0,1.16315081,0.980829253,1.386294361,1.386294361,1.673976434,1.16315081,1.386294361,1.16315081,1.16315081,1.16315081,1.673976434,1.386294361,1.386294361,1.673976434
NM_GM48_16,1.673976434,2.772588722,1.673976434,1.673976434,1.16315081,0,0.287682072,0.207639365,0.826678573,0.826678573,0.207639365,0.470003629,1.386294361,0.980829253,0.287682072,0.980829253,0.133531393,0.374693449,0.470003629
NM_GM48_17,1.16315081,2.772588722,1.673976434,1.386294361,0.980829253,0.287682072,0,0.287682072,0.980829253,0.826678573,0.287682072,0.374693449,0.980829253,0.826678573,0.207639365,0.826678573,0.374693449,0.470003629,0.575364145
NM_GM48_18,1.386294361,2.772588722,1.673976434,1.16315081,1.386294361,0.207639365,0.287682072,0,0.980829253,0.575364145,0.374693449,0.470003629,1.16315081,0.693147181,0.064538521,0.826678573,0.064538521,0.133531393,0.207639365
NM_GM48_19,0.575364145,2.772588722,2.079441542,1.386294361,1.386294361,0.826678573,0.980829253,0.980829253,0,1.673976434,0.826678573,0.826678573,0.575364145,0.826678573,1.16315081,0.374693449,0.826678573,1.16315081,1.16315081
NM_GM48_2,0.826678573,2.079441542,1.673976434,0.575364145,1.673976434,0.826678573,0.826678573,0.575364145,1.673976434,0,0.980829253,1.16315081,1.16315081,1.386294361,0.575364145,1.386294361,0.693147181,0.575364145,0.374693449
NM_GM48_20,1.673976434,2.772588722,2.079441542,2.079441542,1.16315081,0.207639365,0.287682072,0.374693449,0.826678573,0.980829253,0,0.693147181,1.386294361,1.16315081,0.470003629,0.980829253,0.287682072,0.575364145,0.693147181
NM_GM48_21,1.16315081,NA,2.079441542,1.16315081,1.386294361,0.470003629,0.374693449,0.470003629,0.826678573,1.16315081,0.693147181,0,0.980829253,0.470003629,0.374693449,0.826678573,0.470003629,0.693147181,0.826678573
NM_GM48_3,0.207639365,2.079441542,1.673976434,0.693147181,1.16315081,1.386294361,0.980829253,1.16315081,0.575364145,1.16315081,1.386294361,0.980829253,0,0.374693449,0.980829253,0.470003629,1.386294361,1.386294361,0.980829253
NM_GM48_4,0.575364145,NA,2.772588722,0.693147181,1.16315081,0.980829253,0.826678573,0.693147181,0.826678573,1.386294361,1.16315081,0.470003629,0.374693449,0,0.575364145,0.470003629,0.826678573,0.826678573,0.826678573
NM_GM48_5,1.386294361,2.772588722,1.673976434,1.16315081,1.16315081,0.287682072,0.207639365,0.064538521,1.16315081,0.575364145,0.470003629,0.374693449,0.980829253,0.575364145,0,0.980829253,0.133531393,0.207639365,0.287682072
NM_GM48_6,0.470003629,2.772588722,2.079441542,0.980829253,1.673976434,0.980829253,0.826678573,0.826678573,0.374693449,1.386294361,0.980829253,0.826678573,0.470003629,0.470003629,0.980829253,0,0.980829253,0.980829253,0.980829253
NM_GM48_7,1.673976434,2.772588722,1.673976434,1.386294361,1.386294361,0.133531393,0.374693449,0.064538521,0.826678573,0.693147181,0.287682072,0.470003629,1.386294361,0.826678573,0.133531393,0.980829253,0,0.207639365,0.287682072
NM_GM48_8,1.386294361,2.772588722,1.673976434,1.16315081,1.386294361,0.374693449,0.470003629,0.133531393,1.16315081,0.575364145,0.575364145,0.693147181,1.386294361,0.826678573,0.207639365,0.980829253,0.207639365,0,0.207639365
NM_GM48_9,1.16315081,2.079441542,1.673976434,0.980829253,1.673976434,0.470003629,0.575364145,0.207639365,1.16315081,0.374693449,0.693147181,0.826678573,0.980829253,0.826678573,0.287682072,0.980829253,0.287682072,0.207639365,0
