,AZ_GM49_1,AZ_GM49_10,AZ_GM49_12,AZ_GM49_13,AZ_GM49_14,AZ_GM49_15,AZ_GM49_4,AZ_GM49_5,AZ_GM49_6,AZ_GM49_7,AZ_GM49_8,AZ_GM49_9
AZ_GM49_1,0,1.386294361,2.079441542,0.980829253,1.16315081,0.693147181,2.079441542,1.386294361,0.693147181,2.079441542,1.673976434,1.673976434
AZ_GM49_10,1.386294361,0,1.673976434,2.079441542,0.980829253,1.386294361,2.772588722,2.079441542,1.673976434,1.16315081,0.575364145,1.386294361
AZ_GM49_12,2.079441542,1.673976434,0,1.16315081,1.673976434,1.673976434,NA,2.772588722,2.079441542,2.772588722,1.673976434,1.673976434
AZ_GM49_13,0.980829253,2.079441542,1.16315081,0,0.980829253,1.16315081,2.772588722,2.079441542,1.386294361,2.079441542,1.673976434,1.386294361
AZ_GM49_14,1.16315081,0.980829253,1.673976434,0.980829253,0,1.16315081,NA,2.772588722,2.079441542,0.826678573,0.575364145,1.673976434
AZ_GM49_15,0.693147181,1.386294361,1.673976434,1.16315081,1.16315081,0,NA,2.772588722,0.693147181,1.386294361,1.386294361,1.16315081
AZ_GM49_4,2.079441542,2.772588722,NA,2.772588722,NA,NA,0,0.133531393,1.673976434,NA,NA,NA
AZ_GM49_5,1.386294361,2.079441542,2.772588722,2.079441542,2.772588722,2.772588722,0.133531393,0,1.386294361,2.772588722,2.772588722,2.772588722
AZ_GM49_6,0.693147181,1.673976434,2.079441542,1.386294361,2.079441542,0.693147181,1.673976434,1.386294361,0,1.386294361,2.079441542,1.673976434
AZ_GM49_7,2.079441542,1.16315081,2.772588722,2.079441542,0.826678573,1.386294361,NA,2.772588722,1.386294361,0,0.826678573,2.079441542
AZ_GM49_8,1.673976434,0.575364145,1.673976434,1.673976434,0.575364145,1.386294361,NA,2.772588722,2.079441542,0.826678573,0,1.16315081
AZ_GM49_9,1.673976434,1.386294361,1.673976434,1.386294361,1.673976434,1.16315081,NA,2.772588722,1.673976434,2.079441542,1.16315081,0
