,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_10,UT_Ca_JN_PJ17_11,UT_Ca_JN_PJ17_12,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_14,UT_Ca_JN_PJ17_15,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_18,UT_Ca_JN_PJ17_19,UT_Ca_JN_PJ17_2,UT_Ca_JN_PJ17_20,UT_Ca_JN_PJ17_21,UT_Ca_JN_PJ17_22,UT_Ca_JN_PJ17_23,UT_Ca_JN_PJ17_24,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_4,UT_Ca_JN_PJ17_5,UT_Ca_JN_PJ17_6,UT_Ca_JN_PJ17_7,UT_Ca_JN_PJ17_8,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_11,UT_Ca_JN_PJ18_12,UT_Ca_JN_PJ18_13,UT_Ca_JN_PJ18_14,UT_Ca_JN_PJ18_15,UT_Ca_JN_PJ18_16,UT_Ca_JN_PJ18_17,UT_Ca_JN_PJ18_18,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_20,UT_Ca_JN_PJ18_21,UT_Ca_JN_PJ18_22,UT_Ca_JN_PJ18_23,UT_Ca_JN_PJ18_24,UT_Ca_JN_PJ18_3,UT_Ca_JN_PJ18_4,UT_Ca_JN_PJ18_5,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_7,UT_Ca_JN_PJ18_8,UT_Ca_JN_PJ18_9
UT_Ca_JN_PJ17_1,0,NA,2.52492800362477,NA,NA,2.15948424935337,NA,NA,NA,NA,NA,2.5453390008849,NA,NA,NA,1.90885616297845,NA,2.5453390008849,2.39640545212982,NA,2.83302107333668,NA,2.34180580614733,NA,NA,NA,1.71399778740844,NA,1.60863727175061,1.18189235643305,2.56494935746154,1.55334844578306,3.1745694956899,1.53373808920642,2.19653823543023,NA,2.38108696739888,NA,2.00533356952611,1.75401914124521,1.89067234089301,2.48142231512995,NA,NA,NA,NA,NA,2.09818308830721
UT_Ca_JN_PJ17_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_11,2.52492800362477,NA,0,NA,NA,1.2721650351294,NA,NA,NA,NA,NA,0.280694095523794,NA,NA,NA,1.30921902120626,NA,0.847089570444596,1.66323691773311,1.00383737165508,1.94570185911271,NA,1.51332709194629,NA,NA,NA,1.23214368129263,NA,1.92529086185258,2.75130891503038,1.51332709194629,1.60863727175061,1.42980004961471,1.94570185911271,1.30921902120626,NA,1.16241061722046,NA,NA,1.60863727175061,1.73286795139986,0.937323564516911,NA,NA,NA,NA,NA,0.854188930144502
UT_Ca_JN_PJ17_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_14,2.15948424935337,NA,1.2721650351294,NA,NA,0,NA,NA,NA,NA,NA,1.53373808920642,NA,NA,NA,1.09792594676212,NA,1.15904463976501,1.36678603494866,1.34924037504303,1.85219182032495,NA,1.46633706879343,NA,NA,NA,0.733168534396713,NA,1.96531221568935,1.49204728473689,1.64865862558738,2.56494935746154,3.1745694956899,1.85219182032495,1.50339105487029,NA,1.82147117946346,NA,2.85263142991332,1.64865862558738,2.58381952145296,1.46982140345147,NA,NA,NA,NA,NA,1.25088522792
UT_Ca_JN_PJ17_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_17,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ17_2,2.5453390008849,NA,0.280694095523794,NA,NA,1.53373808920642,NA,NA,NA,NA,NA,0,NA,NA,NA,1.6661022550876,NA,1.02165124753198,1.34717567837202,0.672850482077319,1.83258146374831,NA,1.29257603238953,NA,NA,NA,2.09985253893996,NA,2.50531764704813,2.26089428852452,2.13987389277673,3.23848618144484,2.74949403100509,1.96611285637283,1.88924580640181,NA,1.44518587894808,NA,2.13987389277673,1.85219182032495,2.8518912373281,1.07551759743342,NA,NA,NA,NA,NA,1.0371188569024
