,CA_Fr_JR_PJ61_1,CA_Fr_JR_PJ61_10,CA_Fr_JR_PJ61_11,CA_Fr_JR_PJ61_12,CA_Fr_JR_PJ61_2,CA_Fr_JR_PJ61_3,CA_Fr_JR_PJ61_4,CA_Fr_JR_PJ61_5,CA_Fr_JR_PJ61_6,CA_Fr_JR_PJ61_7,CA_Fr_JR_PJ61_8,CA_Fr_JR_PJ61_9,CA_Fr_JR_PJ62_1,CA_Fr_JR_PJ62_10,CA_Fr_JR_PJ62_11,CA_Fr_JR_PJ62_12,CA_Fr_JR_PJ62_2,CA_Fr_JR_PJ62_3,CA_Fr_JR_PJ62_4,CA_Fr_JR_PJ62_5,CA_Fr_JR_PJ62_6,CA_Fr_JR_PJ62_7,CA_Fr_JR_PJ62_8,CA_Fr_JR_PJ62_9
CA_Fr_JR_PJ61_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_6,NA,NA,NA,NA,NA,NA,NA,NA,0,0.97438160901886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71399778740844,1.25088522792,NA
CA_Fr_JR_PJ61_7,NA,NA,NA,NA,NA,NA,NA,NA,0.97438160901886,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03972077083992,1.1362239992869,NA
CA_Fr_JR_PJ61_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ61_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Fr_JR_PJ62_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Fr_JR_PJ62_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Fr_JR_PJ62_7,NA,NA,NA,NA,NA,NA,NA,NA,1.71399778740844,1.03972077083992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.714426987769343,NA
CA_Fr_JR_PJ62_8,NA,NA,NA,NA,NA,NA,NA,NA,1.25088522792,1.1362239992869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.714426987769343,0,NA
CA_Fr_JR_PJ62_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
