,CA_Lake_JR_PJ79_1,CA_Lake_JR_PJ79_10,CA_Lake_JR_PJ79_11,CA_Lake_JR_PJ79_12,CA_Lake_JR_PJ79_2,CA_Lake_JR_PJ79_3,CA_Lake_JR_PJ79_4,CA_Lake_JR_PJ79_5,CA_Lake_JR_PJ79_6,CA_Lake_JR_PJ79_7,CA_Lake_JR_PJ79_8,CA_Lake_JR_PJ79_9,CA_Lake_JR_PJ80_1,CA_Lake_JR_PJ80_10,CA_Lake_JR_PJ80_11,CA_Lake_JR_PJ80_12,CA_Lake_JR_PJ80_2,CA_Lake_JR_PJ80_3,CA_Lake_JR_PJ80_4,CA_Lake_JR_PJ80_5,CA_Lake_JR_PJ80_6,CA_Lake_JR_PJ80_7,CA_Lake_JR_PJ80_8,CA_Lake_JR_PJ80_9
CA_Lake_JR_PJ79_1,0,1.42128365052575,0.635796496000458,1.07880966137193,NA,3.93163336200479,NA,1.96611285637283,1.11729018193999,NA,2.48403783983873,NA,NA,NA,2.81341071676004,1.27296567581289,1.13574725296201,2.48403783983873,NA,2.12026353620009,0.991632967799541,1.52226121886171,1.16228199985641,NA
CA_Lake_JR_PJ79_10,1.42128365052575,0,1.17263002050771,1.68364791499324,NA,1.52093671477592,NA,1.04179402882084,1.53980687876735,NA,2.1527827342897,NA,NA,NA,1.68364791499324,1.34717567837202,1.07642586289662,1.3054848739025,NA,1.68364791499324,0.903324040860903,1.19100611331268,1.64195711052371,NA
CA_Lake_JR_PJ79_11,0.635796496000458,1.17263002050771,0,0.599428851829583,NA,2.56494935746154,NA,1.62904826901074,0.792060052224905,NA,1.69271798019904,NA,NA,NA,1.29257603238953,1.15904463976501,1.15535760953865,2.09818308830721,NA,1.85219182032495,0.625580843564197,1.20539933881714,1.11735383529548,NA
CA_Lake_JR_PJ79_12,1.07880966137193,1.68364791499324,0.599428851829583,0,NA,3.23848618144484,NA,1.71479842809193,1.06013176810005,NA,1.6731076236224,NA,NA,NA,1.13943428318836,1.42711635564015,2.16536667014317,2.77171991229051,NA,1.42711635564015,0.934474553959593,1.74540477017592,1.92442205190331,NA
CA_Lake_JR_PJ79_2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ79_3,3.93163336200479,1.52093671477592,2.56494935746154,3.23848618144484,NA,0,NA,1.53373808920642,2.58381952145296,NA,2.50364819641537,NA,NA,NA,1.09842001794857,2.83302107333668,2.40812057803402,1.25088522792,NA,2.13987389277673,1.64723209109618,2.45816230731251,2.50364819641537,NA
CA_Lake_JR_PJ79_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ79_5,1.96611285637283,1.04179402882084,1.62904826901074,1.71479842809193,NA,1.53373808920642,NA,0,1.46559687620821,NA,2.48403783983873,NA,NA,NA,1.42711635564015,1.83258146374831,1.82889443352195,1.79089065927878,NA,1.34707364796661,1.42695103905739,1.62762173451954,1.92442205190331,NA
CA_Lake_JR_PJ79_6,1.11729018193999,1.53980687876735,0.792060052224905,1.06013176810005,NA,2.58381952145296,NA,1.46559687620821,0,NA,1.96290257247137,NA,NA,NA,1.31144619638095,1.31144619638095,1.86737495409002,2.11705325229863,NA,1.75327894865999,1.09073811018404,1.56074173942978,1.20076252042447,NA
CA_Lake_JR_PJ79_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ79_8,2.48403783983873,2.1527827342897,1.69271798019904,1.6731076236224,NA,2.50364819641537,NA,2.48403783983873,1.96290257247137,NA,0,NA,NA,NA,2.48403783983873,1.6731076236224,1.43052868511369,3.8286413964891,NA,1.16228199985641,1.58593093005001,2.39686114626634,1.26369203902756,NA
CA_Lake_JR_PJ79_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ80_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ80_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JR_PJ80_11,2.81341071676004,1.68364791499324,1.29257603238953,1.13943428318836,NA,1.09842001794857,NA,1.42711635564015,1.31144619638095,NA,2.48403783983873,NA,NA,NA,0,2.52572864430826,2.38851022145738,1.47243692816025,NA,0.967584026261706,1.25989695439422,1.52226121886171,2.48403783983873,NA
CA_Lake_JR_PJ80_12,1.27296567581289,1.34717567837202,1.15904463976501,1.42711635564015,NA,2.83302107333668,NA,1.83258146374831,1.31144619638095,NA,1.6731076236224,NA,NA,NA,2.52572864430826,0,1.47221948958322,2.48403783983873,NA,1.42711635564015,1.62762173451954,1.42695103905739,1.6731076236224,NA
CA_Lake_JR_PJ80_2,1.13574725296201,1.07642586289662,1.15535760953865,2.16536667014317,NA,2.40812057803402,NA,1.82889443352195,1.86737495409002,NA,1.43052868511369,NA,NA,NA,2.38851022145738,1.47221948958322,0,2.12367586567364,NA,1.06675438147506,1.38504279601083,1.49040331166866,1.78720362905243,NA
CA_Lake_JR_PJ80_3,2.48403783983873,1.3054848739025,2.09818308830721,2.77171991229051,NA,1.25088522792,NA,1.79089065927878,2.11705325229863,NA,3.8286413964891,NA,NA,NA,1.47243692816025,2.48403783983873,2.12367586567364,0,NA,2.77171991229051,1.48057041439219,2.39686114626634,NA,NA
CA_Lake_JR_PJ80_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Lake_JR_PJ80_5,2.12026353620009,1.68364791499324,1.85219182032495,1.42711635564015,NA,2.13987389277673,NA,1.34707364796661,1.75327894865999,NA,1.16228199985641,NA,NA,NA,0.967584026261706,1.42711635564015,1.06675438147506,2.77171991229051,NA,0,2.43855195073587,2.21540839942166,1.47243692816025,NA
CA_Lake_JR_PJ80_6,0.991632967799541,0.903324040860903,0.625580843564197,0.934474553959593,NA,1.64723209109618,NA,1.42695103905739,1.09073811018404,NA,1.58593093005001,NA,NA,NA,1.25989695439422,1.62762173451954,1.38504279601083,1.48057041439219,NA,2.43855195073587,0,1.25276296849537,1.48057041439219,NA
CA_Lake_JR_PJ80_7,1.52226121886171,1.19100611331268,1.20539933881714,1.74540477017592,NA,2.45816230731251,NA,1.62762173451954,1.56074173942978,NA,2.39686114626634,NA,NA,NA,1.52226121886171,1.42695103905739,1.49040331166866,2.39686114626634,NA,2.21540839942166,1.25276296849537,0,1.83724535833092,NA
CA_Lake_JR_PJ80_8,1.16228199985641,1.64195711052371,1.11735383529548,1.92442205190331,NA,2.50364819641537,NA,1.92442205190331,1.20076252042447,NA,1.26369203902756,NA,NA,NA,2.48403783983873,1.6731076236224,1.78720362905243,NA,NA,1.47243692816025,1.48057041439219,1.83724535833092,0,NA
CA_Lake_JR_PJ80_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
