,CA_SD_Jsp_PJ5_1,CA_SD_Jsp_PJ5_10,CA_SD_Jsp_PJ5_11,CA_SD_Jsp_PJ5_12,CA_SD_Jsp_PJ5_13,CA_SD_Jsp_PJ5_14,CA_SD_Jsp_PJ5_15,CA_SD_Jsp_PJ5_16,CA_SD_Jsp_PJ5_17,CA_SD_Jsp_PJ5_19,CA_SD_Jsp_PJ5_2,CA_SD_Jsp_PJ5_21,CA_SD_Jsp_PJ5_22,CA_SD_Jsp_PJ5_23,CA_SD_Jsp_PJ5_24,CA_SD_Jsp_PJ5_3,CA_SD_Jsp_PJ5_4,CA_SD_Jsp_PJ5_5,CA_SD_Jsp_PJ5_6,CA_SD_Jsp_PJ5_7,CA_SD_Jsp_PJ5_8,CA_SD_Jsp_PJ5_9,CA_SD_Jsp_PJ6_1,CA_SD_Jsp_PJ6_10,CA_SD_Jsp_PJ6_11,CA_SD_Jsp_PJ6_13,CA_SD_Jsp_PJ6_14,CA_SD_Jsp_PJ6_15,CA_SD_Jsp_PJ6_16,CA_SD_Jsp_PJ6_17,CA_SD_Jsp_PJ6_18,CA_SD_Jsp_PJ6_19,CA_SD_Jsp_PJ6_2,CA_SD_Jsp_PJ6_20,CA_SD_Jsp_PJ6_21,CA_SD_Jsp_PJ6_22,CA_SD_Jsp_PJ6_23,CA_SD_Jsp_PJ6_24,CA_SD_Jsp_PJ6_4,CA_SD_Jsp_PJ6_5,CA_SD_Jsp_PJ6_6,CA_SD_Jsp_PJ6_7,CA_SD_Jsp_PJ6_8,CA_SD_Jsp_PJ6_9,CA_SD_Jsp_PJ7_1,CA_SD_Jsp_PJ7_10,CA_SD_Jsp_PJ7_11,CA_SD_Jsp_PJ7_12,CA_SD_Jsp_PJ7_13,CA_SD_Jsp_PJ7_14,CA_SD_Jsp_PJ7_15,CA_SD_Jsp_PJ7_16,CA_SD_Jsp_PJ7_17,CA_SD_Jsp_PJ7_18,CA_SD_Jsp_PJ7_19,CA_SD_Jsp_PJ7_2,CA_SD_Jsp_PJ7_20,CA_SD_Jsp_PJ7_21,CA_SD_Jsp_PJ7_24,CA_SD_Jsp_PJ7_3,CA_SD_Jsp_PJ7_4,CA_SD_Jsp_PJ7_5,CA_SD_Jsp_PJ7_7,CA_SD_Jsp_PJ7_8,CA_SD_Jsp_PJ7_9,CA_SD_Jsp_PJ8_1,CA_SD_Jsp_PJ8_12,CA_SD_Jsp_PJ8_16,CA_SD_Jsp_PJ8_18,CA_SD_Jsp_PJ8_2,CA_SD_Jsp_PJ8_22,CA_SD_Jsp_PJ8_23,CA_SD_Jsp_PJ8_24,CA_SD_Jsp_PJ8_3,CA_SD_Jsp_PJ8_5,CA_SD_Jsp_PJ8_6,CA_SD_Jsp_PJ8_7
CA_SD_Jsp_PJ5_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_13,NA,NA,NA,NA,0,NA,NA,NA,NA,0.636482837906444,NA,NA,2.62087350752982,0.729400525953319,0.710590810060166,NA,NA,NA,NA,NA,0.636482837906444,1.88924580640181,0.608933796322376,NA,0.636482837906444,0.482540448021794,NA,NA,NA,0.788292043781511,NA,0.442326823465486,NA,1.13547400402543,NA,3.23384936305218,2.6020033435384,NA,NA,NA,NA,NA,0.710590810060166,NA,0.992565431104297,NA,1.79107312732207,NA,NA,NA,NA,1.06272888948327,NA,NA,NA,1.16947636858246,1.23457914640993,NA,NA,NA,1.06411585292463,1.52226121886171,NA,1.21570898241851,1.7227665977411,2.84966406215341,2.58239298696176,0.788292043781511,1.98108639455681,2.6020033435384,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_14,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_16,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_17,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_SD_Jsp_PJ5_19,NA,NA,NA,NA,0.636482837906444,NA,NA,NA,NA,0,NA,NA,1.87106198431637,0.672736183299818,0.693147180559945,NA,NA,NA,NA,NA,0.776528789498996,1.6094379124341,0.712612103744054,NA,0.616186139423817,0.756117792238869,NA,NA,NA,0.692406987974728,NA,0.7339691750802,NA,0.544727175441672,NA,2.48403783983873,2.13987389277673,NA,NA,NA,NA,NA,0.693147180559945,NA,1.36668400454325,NA,1.44672671221679,NA,NA,NA,NA,1.17791480375643,NA,NA,NA,0.912141330466808,1.38555416853467,NA,NA,NA,1.36412645420986,1.242453324894,NA,1.53373808920642,2.35924943564755,1.94570185911271,2.52572864430826,0.954771252442219,3.17718502039868,2.83302107333668,NA,NA,NA,NA,NA,NA,NA
