,CA_Bu_JH_PJ29_1,CA_Bu_JH_PJ29_10,CA_Bu_JH_PJ29_11,CA_Bu_JH_PJ29_12,CA_Bu_JH_PJ29_13,CA_Bu_JH_PJ29_14,CA_Bu_JH_PJ29_15,CA_Bu_JH_PJ29_17,CA_Bu_JH_PJ29_19,CA_Bu_JH_PJ29_2,CA_Bu_JH_PJ29_20,CA_Bu_JH_PJ29_21,CA_Bu_JH_PJ29_22,CA_Bu_JH_PJ29_23,CA_Bu_JH_PJ29_3,CA_Bu_JH_PJ29_4,CA_Bu_JH_PJ29_5,CA_Bu_JH_PJ29_6,CA_Bu_JH_PJ29_7,CA_Bu_JH_PJ29_8,CA_Bu_JH_PJ29_9,CA_Bu_JH_PJ30_1,CA_Bu_JH_PJ30_10,CA_Bu_JH_PJ30_11,CA_Bu_JH_PJ30_12,CA_Bu_JH_PJ30_13,CA_Bu_JH_PJ30_14,CA_Bu_JH_PJ30_15,CA_Bu_JH_PJ30_16,CA_Bu_JH_PJ30_17,CA_Bu_JH_PJ30_18,CA_Bu_JH_PJ30_19,CA_Bu_JH_PJ30_20,CA_Bu_JH_PJ30_21,CA_Bu_JH_PJ30_22,CA_Bu_JH_PJ30_23,CA_Bu_JH_PJ30_24,CA_Bu_JH_PJ30_3,CA_Bu_JH_PJ30_4,CA_Bu_JH_PJ30_5,CA_Bu_JH_PJ30_6,CA_Bu_JH_PJ30_7,CA_Bu_JH_PJ30_8,CA_Bu_JH_PJ30_9
CA_Bu_JH_PJ29_1,0,NA,NA,NA,1.25276296849537,1.52226121886171,NA,NA,NA,1.26063714697944,NA,NA,NA,NA,NA,NA,NA,0.541431965849985,NA,1.1739545245935,0.810243874310343,0.788292043781511,2.33883843838742,1.38629436111989,NA,NA,NA,2.58239298696176,2.33883843838742,NA,2.88968541599018,2.33883843838742,3.21162348176676,1.24022614971931,NA,NA,NA,NA,3.3322045101752,2.58239298696176,2.17692787885359,2.62087350752982,1.77146277074543,NA
CA_Bu_JH_PJ29_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_13,1.25276296849537,NA,NA,NA,0,1.36811053903445,NA,NA,NA,1.07831559018548,NA,NA,NA,NA,NA,NA,NA,0.788292043781511,NA,0.829114038301766,0.992565431104297,1.01143559509572,3.25512917026157,1.54044504094715,NA,NA,NA,NA,2.84966406215341,NA,3.29515052409834,NA,3.21162348176676,2.15651688159347,NA,NA,NA,NA,NA,NA,2.02277719902633,3.31402068808977,NA,NA
CA_Bu_JH_PJ29_14,1.52226121886171,NA,NA,NA,1.36811053903445,0,NA,NA,NA,0.395155464506797,NA,NA,NA,NA,NA,NA,NA,1.42403468910274,NA,1.34992671694902,1.48520723278485,1.34992671694902,1.62750743574204,1.80994329131349,NA,NA,NA,1.87106198431637,2.13833305950803,NA,1.66752878957881,2.13833305950803,2.09482737101321,2.54379816761619,NA,NA,NA,NA,2.21540839942166,1.75327894865999,2.15874405676816,2.19722457733622,2.56420916487632,NA
CA_Bu_JH_PJ29_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_17,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_19,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_2,1.26063714697944,NA,NA,NA,1.07831559018548,0.395155464506797,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.31144619638095,NA,1.46559687620821,1.85219182032495,1.17791480375643,1.81217046648818,2.58239298696176,NA,NA,NA,2.12026353620009,2.09985253893996,NA,2.5453390008849,3.19846482760807,2.74949403100509,2.79299971949991,NA,NA,NA,NA,2.58239298696176,2.30258509299405,1.96611285637283,2.56420916487632,2.52572864430826,NA
