,CA_Yo_JC_PJ59_1,CA_Yo_JC_PJ59_10,CA_Yo_JC_PJ59_11,CA_Yo_JC_PJ59_12,CA_Yo_JC_PJ59_2,CA_Yo_JC_PJ59_3,CA_Yo_JC_PJ59_4,CA_Yo_JC_PJ59_5,CA_Yo_JC_PJ59_6,CA_Yo_JC_PJ59_7,CA_Yo_JC_PJ59_8,CA_Yo_JC_PJ59_9,CA_Yo_JC_PJ60_1,CA_Yo_JC_PJ60_10,CA_Yo_JC_PJ60_11,CA_Yo_JC_PJ60_12,CA_Yo_JC_PJ60_2,CA_Yo_JC_PJ60_3,CA_Yo_JC_PJ60_4,CA_Yo_JC_PJ60_5,CA_Yo_JC_PJ60_6,CA_Yo_JC_PJ60_7,CA_Yo_JC_PJ60_8,CA_Yo_JC_PJ60_9
CA_Yo_JC_PJ59_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ59_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.62441145061808,NA,NA,NA,0.877644894723332,NA,NA,NA,NA,NA,0.852803488729139,0.931264270058131,1.62441145061808,NA
CA_Yo_JC_PJ59_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62441145061808,0,NA,NA,NA,1.16228199985641,NA,NA,NA,NA,NA,1.11735383529548,1.26369203902756,1.26369203902756,NA
CA_Yo_JC_PJ59_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877644894723332,1.16228199985641,NA,NA,NA,0,NA,NA,NA,NA,NA,0.405272837388625,0.65145637609042,0.734837985029471,NA
CA_Yo_JC_PJ60_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Yo_JC_PJ60_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Yo_JC_PJ60_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852803488729139,1.11735383529548,NA,NA,NA,0.405272837388625,NA,NA,NA,NA,NA,0,0.488745175873106,1.05672921347905,NA
CA_Yo_JC_PJ60_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931264270058131,1.26369203902756,NA,NA,NA,0.65145637609042,NA,NA,NA,NA,NA,0.488745175873106,0,0.784118958765672,NA
CA_Yo_JC_PJ60_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62441145061808,1.26369203902756,NA,NA,NA,0.734837985029471,NA,NA,NA,NA,NA,1.05672921347905,0.784118958765672,0,NA
CA_Yo_JC_PJ60_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
