,CA_Sol_JC_PJ81_1,CA_Sol_JC_PJ81_10,CA_Sol_JC_PJ81_11,CA_Sol_JC_PJ81_12,CA_Sol_JC_PJ81_2,CA_Sol_JC_PJ81_3,CA_Sol_JC_PJ81_4,CA_Sol_JC_PJ81_5,CA_Sol_JC_PJ81_6,CA_Sol_JC_PJ81_7,CA_Sol_JC_PJ81_8,CA_Sol_JC_PJ81_9,CA_Sol_JC_PJ82_1,CA_Sol_JC_PJ82_10,CA_Sol_JC_PJ82_11,CA_Sol_JC_PJ82_12,CA_Sol_JC_PJ82_2,CA_Sol_JC_PJ82_4,CA_Sol_JC_PJ82_5,CA_Sol_JC_PJ82_6,CA_Sol_JC_PJ82_7,CA_Sol_JC_PJ82_8,CA_Sol_JC_PJ82_9
CA_Sol_JC_PJ81_1,0,NA,0.714426987769343,0.461345566502621,0.999570799639096,1.42390607173868,NA,NA,NA,NA,NA,NA,NA,NA,2.4636268425786,NA,NA,1.69271798019904,2.50364819641537,NA,2.28050464510116,NA,2.24048329126439
CA_Sol_JC_PJ81_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_11,0.714426987769343,NA,0,0.758878750340177,0.915490091190668,1.53219725593771,NA,NA,NA,NA,NA,NA,NA,NA,1.47330573810952,NA,NA,1.20317216364245,1.2721650351294,NA,2.1194628955166,NA,3.17805383034795
CA_Sol_JC_PJ81_12,0.461345566502621,NA,0.758878750340177,0,1.11735383529548,1.60622762853264,NA,NA,NA,NA,NA,NA,NA,NA,2.24048329126439,NA,NA,1.94403240847995,2.09818308830721,NA,1.58735746454122,NA,1.65269662636227
CA_Sol_JC_PJ81_2,0.999570799639096,NA,0.915490091190668,1.11735383529548,0,1.48520723278485,NA,NA,NA,NA,NA,NA,NA,NA,2.1194628955166,NA,NA,1.31218638896617,3.25809653802148,NA,1.87180217690159,NA,2.30178445231056
CA_Sol_JC_PJ81_3,1.42390607173868,NA,1.53219725593771,1.60622762853264,1.48520723278485,0,NA,NA,NA,NA,NA,NA,NA,NA,1.73286795139986,NA,NA,1.33105655295759,2.1783544133448,NA,NA,NA,2.54379816761619
CA_Sol_JC_PJ81_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ81_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ82_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ82_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ82_11,2.4636268425786,NA,1.47330573810952,2.24048329126439,2.1194628955166,1.73286795139986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.775728148815509,0.866699927021236,NA,1.13863364250488,NA,1.47330573810952
CA_Sol_JC_PJ82_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ82_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ82_4,1.69271798019904,NA,1.20317216364245,1.94403240847995,1.31218638896617,1.33105655295759,NA,NA,NA,NA,NA,NA,NA,NA,0.775728148815509,NA,NA,0,1.00680473941499,NA,0.860201265223111,NA,0.915490091190668
CA_Sol_JC_PJ82_5,2.50364819641537,NA,1.2721650351294,2.09818308830721,3.25809653802148,2.1783544133448,NA,NA,NA,NA,NA,NA,NA,NA,0.866699927021236,NA,NA,1.00680473941499,0,NA,1.11803037452521,NA,1.2721650351294
CA_Sol_JC_PJ82_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Sol_JC_PJ82_7,2.28050464510116,NA,2.1194628955166,1.58735746454122,1.87180217690159,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13863364250488,NA,NA,0.860201265223111,1.11803037452521,NA,0,NA,0.579017854569455
CA_Sol_JC_PJ82_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Sol_JC_PJ82_9,2.24048329126439,NA,3.17805383034795,1.65269662636227,2.30178445231056,2.54379816761619,NA,NA,NA,NA,NA,NA,NA,NA,1.47330573810952,NA,NA,0.915490091190668,1.2721650351294,NA,0.579017854569455,NA,0
