,CA_Sol_JC_PJ77_1,CA_Sol_JC_PJ77_10,CA_Sol_JC_PJ77_11,CA_Sol_JC_PJ77_12,CA_Sol_JC_PJ77_2,CA_Sol_JC_PJ77_3,CA_Sol_JC_PJ77_4,CA_Sol_JC_PJ77_5,CA_Sol_JC_PJ77_6,CA_Sol_JC_PJ77_7,CA_Sol_JC_PJ77_8,CA_Sol_JC_PJ77_9,CA_Sol_JC_PJ78_1,CA_Sol_JC_PJ78_10,CA_Sol_JC_PJ78_11,CA_Sol_JC_PJ78_12,CA_Sol_JC_PJ78_2,CA_Sol_JC_PJ78_3,CA_Sol_JC_PJ78_4,CA_Sol_JC_PJ78_5,CA_Sol_JC_PJ78_6,CA_Sol_JC_PJ78_7,CA_Sol_JC_PJ78_8,CA_Sol_JC_PJ78_9
CA_Sol_JC_PJ77_1,0,1.06087196068526,1.59040243185992,0.619039208406223,1.57221860977448,1.79107312732207,NA,1.38373681078651,1.33105655295759,1.34627300728312,1.15904463976501,1.48520723278485,0.860201265223111,1.01011109100993,1.13863364250488,0.955511445027436,1.04126160410862,2.00533356952611,2.30178445231056,1.71399778740844,1.60863727175061,1.34924037504303,0.929689828451517,1.2721650351294
CA_Sol_JC_PJ77_10,1.06087196068526,0,1.21570898241851,1.17865499634165,2.87150159390474,3.29515052409834,NA,1.94335259872193,1.19752516033307,1.60863727175061,1.22358316090258,0.792060052224905,1.11803037452521,0.673638854388719,1.42631571495666,1.64865862558738,0.987194382838346,3.25809653802148,NA,0.866699927021236,1.51332709194629,1.90885616297845,1.51747649335364,0.866699927021236
CA_Sol_JC_PJ77_11,1.59040243185992,1.21570898241851,0,0.810243874310343,2.21540839942166,2.23359222150709,NA,1.57494147669062,1.92772632696988,1.05790459292536,1.07831559018548,0.916125415291396,0.656093194483084,1.04716507708679,1.00383737165508,1.42334834719675,1.88924580640181,1.59040243185992,1.7510517734853,1.64569125782747,1.17568762858174,1.38629436111989,1.91120542336923,0.857233897463204
CA_Sol_JC_PJ77_12,0.619039208406223,1.17865499634165,0.810243874310343,0,2.1783544133448,2.04238755560297,NA,1.38373681078651,1.02567490340641,1.34627300728312,1.15904463976501,1.33105655295759,0.619039208406223,1.11547160666776,0.820179911386343,1.00680473941499,1.85219182032495,2.15948424935337,2.30178445231056,1.2721650351294,0.966783385578219,1.04385872549185,0.986848242291466,1.07800902068844
CA_Sol_JC_PJ77_2,1.57221860977448,2.87150159390474,2.21540839942166,2.1783544133448,0,1.70458277565567,NA,0.709459794217984,2.19722457733622,2.54379816761619,2.56420916487632,1.5910887737659,2.36067597013875,2.63841916743546,2.13833305950803,3.27696670201291,1.75327894865999,1.77288930523663,1.44518587894808,0.934360255182092,3.23694534817614,NA,2.740319461671,1.98418237968077
CA_Sol_JC_PJ77_3,1.79107312732207,3.29515052409834,2.23359222150709,2.04238755560297,1.70458277565567,0,NA,1.98040658479879,2.21540839942166,2.00236620176621,2.35924943564755,2.21540839942166,2.19653823543023,2.25113788141273,2.15651688159347,1.68571261166424,1.88924580640181,0.943775266934865,1.86883480914168,2.56198198970163,2.84966406215341,2.23359222150709,3.85711557242454,1.55038107802315
CA_Sol_JC_PJ77_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_JC_PJ77_5,1.38373681078651,1.94335259872193,1.57494147669062,1.38373681078651,0.709459794217984,1.98040658479879,NA,0,1.55675765460519,1.497866136777,2.21142431459707,1.0459320308392,1.72020904740772,1.08166151283027,1.34371545694974,1.94335259872193,1.36412645420986,1.53788749061376,1.90333124488516,1.21018406432521,1.68018769357095,1.28725940423884,2.09985253893996,1.34371545694974
CA_Sol_JC_PJ77_6,1.33105655295759,1.19752516033307,1.92772632696988,1.02567490340641,2.19722457733622,2.21540839942166,NA,1.55675765460519,0,1.29103519912082,0.954771252442219,1.21639532432449,1.19752516033307,1.53980687876735,0.985653549569642,0.75123805770465,1.46559687620821,2.1783544133448,NA,1.22204232763387,0.839050075377767,1.1739545245935,0.794409312615682,1.1575038064963
CA_Sol_JC_PJ77_7,1.34627300728312,1.60863727175061,1.05790459292536,1.34627300728312,2.54379816761619,2.00236620176621,NA,1.497866136777,1.29103519912082,0,1.00124025027185,1.03972077083992,1.13863364250488,1.3267646811119,0.693147180559945,1.13863364250488,1.6943874308318,1.71399778740844,1.47330573810952,2.07944154167984,1.38629436111989,0.729400525953319,0.946826888454698,1.16315080980568
