,CA_Sol_Jmo_PJ25_1,CA_Sol_Jmo_PJ25_10,CA_Sol_Jmo_PJ25_11,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_13,CA_Sol_Jmo_PJ25_14,CA_Sol_Jmo_PJ25_15,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_17,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_19,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ25_23,CA_Sol_Jmo_PJ25_3,CA_Sol_Jmo_PJ25_4,CA_Sol_Jmo_PJ25_5,CA_Sol_Jmo_PJ25_6,CA_Sol_Jmo_PJ25_7,CA_Sol_Jmo_PJ25_8,CA_Sol_Jmo_PJ25_9,CA_Sol_Jmo_PJ26_1,CA_Sol_Jmo_PJ26_10,CA_Sol_Jmo_PJ26_11,CA_Sol_Jmo_PJ26_12,CA_Sol_Jmo_PJ26_13,CA_Sol_Jmo_PJ26_14,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_17,CA_Sol_Jmo_PJ26_18,CA_Sol_Jmo_PJ26_19,CA_Sol_Jmo_PJ26_2,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_21,CA_Sol_Jmo_PJ26_22,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_24,CA_Sol_Jmo_PJ26_3,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_5,CA_Sol_Jmo_PJ26_6,CA_Sol_Jmo_PJ26_7,CA_Sol_Jmo_PJ26_8,CA_Sol_Jmo_PJ26_9
CA_Sol_Jmo_PJ25_1,0,0.853489830635125,1.02567490340641,0.516516321511064,1.07559937747047,1.23457914640993,1.33105655295759,0.905981088272787,1.68639895357023,NA,NA,0.568916500910695,NA,0.97438160901886,NA,1.04454506739783,0.97438160901886,0.549306144334055,2.41527561612125,NA,1.44518587894808,0.674277016568522,0.639872038663238,NA,NA,NA,1.42390607173868,1.06013176810005,NA,NA,1.33105655295759,NA,1.68639895357023,0.817770268168369,0.839050075377767,NA,1.11729018193999,NA,NA,0.897941593205959,1.1362239992869,NA,NA,NA,1.11729018193999,NA
CA_Sol_Jmo_PJ25_10,0.853489830635125,0,1.07974212467669,0.905981088272787,1.1362239992869,1.06272888948327,1.57221860977448,1.55260825319784,1.28093384546206,NA,NA,1.02567490340641,NA,1.19752516033307,NA,1.50407739677627,1.33105655295759,1.17791480375643,2.63841916743546,NA,0.88557009101266,1.40516452511131,0.674963358474508,NA,NA,NA,1.07559937747047,1.00606454682977,NA,NA,1.40516452511131,NA,1.09861228866811,1.26975539191143,0.839050075377767,NA,0.772449695648265,NA,NA,0.810930216216329,1.42390607173868,NA,NA,NA,1.17791480375643,NA
CA_Sol_Jmo_PJ25_11,1.02567490340641,1.07974212467669,0,0.673536823983305,1.40503590774726,1.15508436060207,1.75401914124521,1.15904463976501,1.57221860977448,NA,NA,0.906721280858004,NA,0.955511445027436,NA,0.792060052224905,1.24319351747922,0.987194382838346,1.36678603494866,NA,0.820179911386343,0.693147180559945,0.377379792014064,NA,NA,NA,0.999570799639096,1.44672671221679,NA,NA,1.31218638896617,NA,1.48520723278485,0.798900104176945,1.02085060684849,NA,1.29257603238953,NA,NA,0.712017344551369,0.671066732667061,NA,NA,NA,1.29257603238953,NA
CA_Sol_Jmo_PJ25_12,0.516516321511064,0.905981088272787,0.673536823983305,0,1.0371188569024,0.924164910358225,1.44672671221679,0.446287102628419,3.25735634543627,NA,NA,0.405272837388625,NA,0.635796496000458,NA,0.516516321511064,1.09842001794857,1.02165124753198,2.19447353875923,NA,0.756117792238869,0.796139146075637,0.672850482077319,NA,NA,NA,1.38542555117062,2.52572864430826,NA,NA,1.44672671221679,NA,1.46559687620821,1.23127487134336,1.0583986641118,NA,1.07880966137193,NA,NA,1.11729018193999,1.30538284349708,NA,NA,NA,1.20397280432594,NA
CA_Sol_Jmo_PJ25_13,1.07559937747047,1.1362239992869,1.40503590774726,1.0371188569024,0,0.882474105888699,0.945503578368821,1.30538284349708,0.964373742360244,NA,NA,0.754448341606111,NA,0.845420119811838,NA,0.689936896658484,0.945503578368821,1.79089065927878,1.99863205446244,NA,1.45202593090012,0.631846019513779,1.15440782137234,NA,NA,NA,2.4423470353692,1.56774710796457,NA,NA,2.09818308830721,NA,1.51091744872831,0.995428052432879,0.758878750340177,NA,1.09774347871884,NA,NA,2.81020043285858,1.52605630349505,NA,NA,NA,2.07857273173057,NA
CA_Sol_Jmo_PJ25_14,1.23457914640993,1.06272888948327,1.15508436060207,0.924164910358225,0.882474105888699,0,1.68571261166424,1.32963001846639,1.70458277565567,NA,NA,0.587100322996133,NA,0.992565431104297,NA,0.829114038301766,3.29515052409834,1.6661022550876,1.96345580896095,NA,0.952544077267529,1.15508436060207,0.980829253011726,NA,NA,NA,1.36204718615059,2.02277719902633,NA,NA,1.34924037504303,NA,1.92772632696988,1.36204718615059,1.64569125782747,NA,1.19609862584187,NA,NA,0.916125415291396,1.15440782137234,NA,NA,NA,2.17692787885359,NA
CA_Sol_Jmo_PJ25_15,1.33105655295759,1.57221860977448,1.75401914124521,1.44672671221679,0.945503578368821,1.68571261166424,0,1.29257603238953,0.792060052224905,NA,NA,1.38629436111989,NA,1.38629436111989,NA,1.19752516033307,1.17865499634165,1.29257603238953,NA,NA,3.91122236474466,1.64865862558738,1.68571261166424,NA,NA,NA,1.69271798019904,1.29257603238953,NA,NA,1.87180217690159,NA,1.26206368147064,0.945503578368821,0.915490091190668,NA,1.62904826901074,NA,NA,1.89067234089301,1.18189235643305,NA,NA,NA,1.36668400454325,NA
CA_Sol_Jmo_PJ25_16,0.905981088272787,1.55260825319784,1.15904463976501,0.446287102628419,1.30538284349708,1.32963001846639,1.29257603238953,0,1.64791843300216,NA,NA,0.796139146075637,NA,1.04126160410862,NA,0.954771252442219,1.29257603238953,1.13943428318836,2.37679509555318,NA,0.947173029001578,1.15904463976501,1.32963001846639,NA,NA,NA,1.38542555117062,1.83258146374831,NA,NA,1.15904463976501,NA,2.15874405676816,1.47243692816025,1.32666265070648,NA,1.42711635564015,NA,NA,0.954771252442219,1.16228199985641,NA,NA,NA,1.07880966137193,NA
CA_Sol_Jmo_PJ25_17,1.68639895357023,1.28093384546206,1.57221860977448,3.25735634543627,0.964373742360244,1.70458277565567,0.792060052224905,1.64791843300216,0,NA,NA,2.58381952145296,NA,1.66752878957881,NA,1.68639895357023,1.66752878957881,0.859461072637894,1.94527198687551,NA,0.985653549569642,0.879071429214535,1.52226121886171,NA,NA,NA,0.773318505597535,1.06013176810005,NA,NA,0.834619666643701,NA,1.34992671694902,1.82937117984685,1.03972077083992,NA,1.31144619638095,NA,NA,1.09861228866811,0.913080447972694,NA,NA,NA,0.954771252442219,NA
CA_Sol_Jmo_PJ25_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
