,CA_ED_JH_PJ65_1,CA_ED_JH_PJ65_10,CA_ED_JH_PJ65_11,CA_ED_JH_PJ65_12,CA_ED_JH_PJ65_2,CA_ED_JH_PJ65_3,CA_ED_JH_PJ65_4,CA_ED_JH_PJ65_5,CA_ED_JH_PJ65_6,CA_ED_JH_PJ65_7,CA_ED_JH_PJ65_8,CA_ED_JH_PJ65_9,CA_ED_JH_PJ66_1,CA_ED_JH_PJ66_10,CA_ED_JH_PJ66_11,CA_ED_JH_PJ66_12,CA_ED_JH_PJ66_2,CA_ED_JH_PJ66_3,CA_ED_JH_PJ66_4,CA_ED_JH_PJ66_5,CA_ED_JH_PJ66_6,CA_ED_JH_PJ66_7,CA_ED_JH_PJ66_8,CA_ED_JH_PJ66_9
CA_ED_JH_PJ65_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.906721280858004,NA,0.834619666643701,NA,NA,NA,1.64865862558738,NA,NA,0.820179911386343,NA
CA_ED_JH_PJ65_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ65_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_10,NA,NA,NA,NA,NA,NA,NA,0.906721280858004,NA,NA,NA,NA,NA,0,NA,0.97438160901886,NA,NA,NA,1.31218638896617,NA,NA,0.820179911386343,NA
CA_ED_JH_PJ66_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_12,NA,NA,NA,NA,NA,NA,NA,0.834619666643701,NA,NA,NA,NA,NA,0.97438160901886,NA,0,NA,NA,NA,1.66752878957881,NA,NA,0.794598312806933,NA
CA_ED_JH_PJ66_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_ED_JH_PJ66_5,NA,NA,NA,NA,NA,NA,NA,1.64865862558738,NA,NA,NA,NA,NA,1.31218638896617,NA,1.66752878957881,NA,NA,NA,0,NA,NA,0.692346539876458,NA
CA_ED_JH_PJ66_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_ED_JH_PJ66_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_ED_JH_PJ66_8,NA,NA,NA,NA,NA,NA,NA,0.820179911386343,NA,NA,NA,NA,NA,0.820179911386343,NA,0.794598312806933,NA,NA,NA,0.692346539876458,NA,NA,0,NA
CA_ED_JH_PJ66_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
