,CA_Te_JH_PJ63_1,CA_Te_JH_PJ63_10,CA_Te_JH_PJ63_11,CA_Te_JH_PJ63_12,CA_Te_JH_PJ63_2,CA_Te_JH_PJ63_3,CA_Te_JH_PJ63_4,CA_Te_JH_PJ63_5,CA_Te_JH_PJ63_6,CA_Te_JH_PJ63_7,CA_Te_JH_PJ63_8,CA_Te_JH_PJ63_9,CA_Te_JH_PJ64_10,CA_Te_JH_PJ64_11,CA_Te_JH_PJ64_12,CA_Te_JH_PJ64_2,CA_Te_JH_PJ64_3,CA_Te_JH_PJ64_4,CA_Te_JH_PJ64_5,CA_Te_JH_PJ64_6,CA_Te_JH_PJ64_7,CA_Te_JH_PJ64_8,CA_Te_JH_PJ64_9
CA_Te_JH_PJ63_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_11,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_5,NA,NA,NA,NA,NA,NA,NA,0,NA,1.19213834667893,1.80994329131349,3.25512917026157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_6,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_7,NA,NA,NA,NA,NA,NA,NA,1.19213834667893,NA,0,0.829114038301766,3.94827635082152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_8,NA,NA,NA,NA,NA,NA,NA,1.80994329131349,NA,0.829114038301766,0,2.32065461630198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ63_9,NA,NA,NA,NA,NA,NA,NA,3.25512917026157,NA,3.94827635082152,2.32065461630198,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CA_Te_JH_PJ64_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
CA_Te_JH_PJ64_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
CA_Te_JH_PJ64_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
CA_Te_JH_PJ64_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
CA_Te_JH_PJ64_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
