,CA_Sol_Jai_PJ33_1,CA_Sol_Jai_PJ33_10,CA_Sol_Jai_PJ33_11,CA_Sol_Jai_PJ33_12,CA_Sol_Jai_PJ33_13,CA_Sol_Jai_PJ33_14,CA_Sol_Jai_PJ33_15,CA_Sol_Jai_PJ33_16,CA_Sol_Jai_PJ33_17,CA_Sol_Jai_PJ33_18,CA_Sol_Jai_PJ33_19,CA_Sol_Jai_PJ33_2,CA_Sol_Jai_PJ33_20,CA_Sol_Jai_PJ33_21,CA_Sol_Jai_PJ33_22,CA_Sol_Jai_PJ33_23,CA_Sol_Jai_PJ33_24,CA_Sol_Jai_PJ33_3,CA_Sol_Jai_PJ33_4,CA_Sol_Jai_PJ33_5,CA_Sol_Jai_PJ33_6,CA_Sol_Jai_PJ33_7,CA_Sol_Jai_PJ33_8,CA_Sol_Jai_PJ33_9,CA_Sol_Jai_PJ34_1,CA_Sol_Jai_PJ34_10,CA_Sol_Jai_PJ34_11,CA_Sol_Jai_PJ34_12,CA_Sol_Jai_PJ34_13,CA_Sol_Jai_PJ34_14,CA_Sol_Jai_PJ34_15,CA_Sol_Jai_PJ34_16,CA_Sol_Jai_PJ34_17,CA_Sol_Jai_PJ34_18,CA_Sol_Jai_PJ34_19,CA_Sol_Jai_PJ34_2,CA_Sol_Jai_PJ34_20,CA_Sol_Jai_PJ34_21,CA_Sol_Jai_PJ34_22,CA_Sol_Jai_PJ34_23,CA_Sol_Jai_PJ34_24,CA_Sol_Jai_PJ34_3,CA_Sol_Jai_PJ34_4,CA_Sol_Jai_PJ34_5,CA_Sol_Jai_PJ34_6,CA_Sol_Jai_PJ34_7,CA_Sol_Jai_PJ34_8,CA_Sol_Jai_PJ34_9
CA_Sol_Jai_PJ33_1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_10,NA,0,1.50339105487029,NA,NA,1.13547400402543,NA,0.810243874310343,1.04385872549185,1.28024750355608,NA,NA,0.951854897282468,0.991138896613094,1.92772632696988,1.04385872549185,NA,0.537474832340231,NA,0.972955074527657,1.08452685018476,0.331101188355262,0.852803488729138,0.559700713625648,1.84755500193229,3.2755401675217,1.84755500193229,1.34924037504303,1.74031225764674,2.25113788141273,1.93560050545395,NA,1.88924580640181,2.19653823543023,3.25512917026157,2.02277719902633,2.15651688159347,1.86883480914168,3.25512917026157,1.57079207528328,2.23359222150709,2.58239298696176,NA,2.6020033435384,1.88924580640181,1.75726303348458,2.19653823543023,1.88924580640181
CA_Sol_Jai_PJ33_11,NA,1.50339105487029,0,NA,NA,1.22358316090258,NA,1.17865499634165,1.64865862558738,1.17865499634165,NA,NA,1.92640182288409,0.954084910536233,1.13690053851663,1.38629436111989,NA,1.38281002646184,NA,1.15904463976501,1.51747649335364,1.29257603238953,1.06087196068526,1.58735746454122,1.18189235643305,3.93163336200479,1.11735383529548,2.15948424935337,2.21408389533587,1.52093671477592,1.89854651937708,1.68571261166424,1.53373808920642,2.34180580614733,0.966783385578219,2.5453390008849,1.02085060684849,1.34627300728312,2.81261007607655,2.5453390008849,1.34924037504303,1.85219182032495,2.15948424935337,1.11803037452521,1.44672671221679,1.53788749061376,1.87180217690159,1.98572321294947
CA_Sol_Jai_PJ33_12,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_14,NA,1.13547400402543,1.22358316090258,NA,NA,0,NA,1.22358316090258,0.796139146075637,0.887110924281364,NA,NA,1.2136442857475,1.25989695439422,1.17791480375643,1.44672671221679,NA,1.20904899005795,NA,1.02165124753198,2.19101331733694,1.20397280432594,1.29257603238953,1.6731076236224,1.30538284349708,2.81341071676004,1.38542555117062,2.13987389277673,1.15301966393107,2.19447353875923,1.87893616280044,3.2755401675217,1.42711635564015,2.32219544957069,1.94570185911271,2.52572864430826,1.58902691517397,1.11902328592824,2.09985253893996,1.71479842809193,1.6661022550876,2.30258509299405,2.13987389277673,1.36668400454325,1.51412773262978,1.70059869083108,2.13987389277673,0.967584026261706
CA_Sol_Jai_PJ33_15,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jai_PJ33_16,NA,0.810243874310343,1.17865499634165,NA,NA,1.22358316090258,NA,0,1.17865499634165,0.955511445027436,NA,NA,0.479482839947762,1.44656139563403,0.712017344551369,0.773189888233482,NA,0.648840851381643,NA,1.98572321294947,1.0474728641079,0.673536823983305,1.11803037452521,1.40503590774726,2.09818308830721,NA,2.28050464510116,NA,2.21408389533587,3.31269618400398,2.2350187559983,3.29515052409834,NA,2.56494935746154,2.1194628955166,2.32219544957069,2.1194628955166,3.21807518418471,3.91122236474466,2.13987389277673,2.19653823543023,2.32219544957069,2.56494935746154,3.25809653802148,NA,2.23103467117371,2.56494935746154,2.83302107333668
CA_Sol_Jai_PJ33_17,NA,1.04385872549185,1.64865862558738,NA,NA,0.796139146075637,NA,1.17865499634165,0,1.11803037452521,NA,NA,0.827789534215978,1.07186794619262,1.07974212467669,1.38629436111989,NA,1.5651315832558,NA,1.22358316090258,1.74062004466785,1.04126160410862,0.906721280858004,1.58735746454122,2.09818308830721,2.5453390008849,2.09818308830721,2.56494935746154,1.70325827156988,2.61954900344403,2.2350187559983,NA,1.62904826901074,2.56494935746154,1.83178082306482,2.5453390008849,2.1194628955166,1.83178082306482,1.96531221568935,1.85219182032495,2.6020033435384,3.93163336200479,1.87180217690159,1.87180217690159,1.85219182032495,2.63649977928187,2.56494935746154,1.62904826901074
CA_Sol_Jai_PJ33_18,NA,1.28024750355608,1.17865499634165,NA,NA,0.887110924281364,NA,0.955511445027436,1.11803037452521,0,NA,NA,0.914800911205607,1.01124332437618,0.712017344551369,1.17865499634165,NA,0.97734491835368,NA,0.796139146075637,1.11201138524547,0.935901088450796,0.655406852577098,0.845420119811838,1.49204728473689,1.73440878466857,2.09818308830721,1.64865862558738,1.8086187872277,NA,1.44656139563403,2.19653823543023,3.23848618144484,3.95124371858143,1.60863727175061,2.5453390008849,1.60863727175061,2.52492800362477,2.52492800362477,2.13987389277673,1.68571261166424,2.5453390008849,2.00533356952611,3.25809653802148,1.29257603238953,2.63649977928187,1.64865862558738,1.62904826901074
