,CA_Co_JR_PJ97_1,CA_Co_JR_PJ97_10,CA_Co_JR_PJ97_11,CA_Co_JR_PJ97_12,CA_Co_JR_PJ97_2,CA_Co_JR_PJ97_3,CA_Co_JR_PJ97_4,CA_Co_JR_PJ97_5,CA_Co_JR_PJ97_6,CA_Co_JR_PJ97_7,CA_Co_JR_PJ97_8,CA_Co_JR_PJ97_9,CA_Co_JR_PJ98_1,CA_Co_JR_PJ98_2,CA_Co_JR_PJ98_3,CA_Co_JR_PJ98_4,CA_Co_JR_PJ98_5,CA_Co_JR_PJ98_6
CA_Co_JR_PJ97_1,0,1.09842001794857,0.776528789498996,0.895879734614027,0.800569554809702,1.47243692816025,1.73440878466857,3.89161200816802,2.30258509299405,2.56420916487632,1.83258146374831,1.22358316090258,0.87459992740463,1.01489297561699,1.20904899005794,1.32666265070648,1.58902691517397,NA
CA_Co_JR_PJ97_10,1.09842001794857,0,0.435125800538306,0.273636205018273,0.866699927021236,0.711888727187316,1.31218638896617,2.81261007607655,3.23848618144484,2.02420373351754,1.62904826901074,1.46633706879343,0.488745175873106,0.823194238526421,0.571879810245515,1.02085060684849,1.60863727175061,3.27696670201291
CA_Co_JR_PJ97_11,0.776528789498996,0.435125800538306,0,0.395104446701538,0.895879734614027,0.734837985029471,1.62904826901074,3.19846482760807,3.91202300542815,1.75327894865999,2.81341071676004,2.13987389277673,0.979960443062456,1.45021104687483,1.14005611857099,1.81217046648818,2.09985253893996,3.25735634543627
CA_Co_JR_PJ97_12,0.895879734614027,0.273636205018273,0.395104446701538,0,1.09861228866811,0.758878750340177,1.42631571495666,NA,NA,2.13833305950803,2.28217409573392,1.83178082306482,0.482625373712019,1.05510660017329,0.495490812237872,0.980829253011726,1.56861591791385,3.23694534817614
CA_Co_JR_PJ97_2,0.800569554809702,0.866699927021236,0.895879734614027,1.09861228866811,0,0.959549445802328,1.34627300728312,3.17805383034795,1.6943874308318,1.85065098705625,1.40670535838002,1.34627300728312,1.07733248145871,0.937323564516911,1.05510660017329,1.03798766685167,1.56861591791385,2.54379816761619
CA_Co_JR_PJ97_3,1.47243692816025,0.711888727187316,0.734837985029471,0.758878750340177,0.959549445802328,0,1.49204728473689,1.90401105464318,2.07857273173057,1.96290257247137,1.38542555117062,1.11735383529548,1.26369203902756,0.861976536037238,0.670921299274528,0.854188930144502,1.54733611070445,2.11705325229863
CA_Co_JR_PJ97_4,1.73440878466857,1.31218638896617,1.62904826901074,1.42631571495666,1.34627300728312,1.49204728473689,0,3.21807518418471,3.23848618144484,3.97011388257285,1.29257603238953,1.06087196068526,1.18189235643305,1.15966647514763,1.38281002646184,1.02085060684849,1.34627300728312,3.27696670201291
CA_Co_JR_PJ97_5,3.89161200816802,2.81261007607655,3.19846482760807,NA,3.17805383034795,1.90401105464318,3.21807518418471,0,1.81217046648818,1.03972077083992,1.00124025027185,1.83178082306482,3.15677402313855,3.82769532241308,2.21825740997898,2.484906649788,1.79175946922805,1.36514317127455
CA_Co_JR_PJ97_6,2.30258509299405,3.23848618144484,3.91202300542815,NA,1.6943874308318,2.07857273173057,3.23848618144484,1.81217046648818,0,0.772449695648265,2.81341071676004,1.62904826901074,3.17718502039868,1.76866477799337,2.74949403100509,1.81217046648818,2.28217409573392,1.17791480375643
CA_Co_JR_PJ97_7,2.56420916487632,2.02420373351754,1.75327894865999,2.13833305950803,1.85065098705625,1.96290257247137,3.97011388257285,1.03972077083992,0.772449695648265,0,1.87106198431637,3.97011388257285,NA,2.09482737101321,2.09482737101321,2.13833305950803,2.54379816761619,1.21639532432449
CA_Co_JR_PJ97_8,1.83258146374831,1.62904826901074,2.81341071676004,2.28217409573392,1.40670535838002,1.38542555117062,1.29257603238953,1.00124025027185,2.81341071676004,1.87106198431637,0,0.935901088450796,1.16228199985641,1.20904899005794,1.3631996698852,0.947173029001578,1.58902691517397,2.15874405676816
CA_Co_JR_PJ97_9,1.22358316090258,1.46633706879343,2.13987389277673,1.83178082306482,1.34627300728312,1.11735383529548,1.06087196068526,1.83178082306482,1.62904826901074,3.97011388257285,0.935901088450796,0,1.49204728473689,1.03450333219363,1.15966647514763,0.579017854569455,1.2721650351294,1.48520723278485
CA_Co_JR_PJ98_1,0.87459992740463,0.488745175873106,0.979960443062456,0.482625373712019,1.07733248145871,1.26369203902756,1.18189235643305,3.15677402313855,3.17718502039868,NA,1.16228199985641,1.49204728473689,0,0.916043757307513,1.09836531410147,1.36501455391049,1.54733611070445,3.90881272152668
CA_Co_JR_PJ98_2,1.01489297561699,0.823194238526421,1.45021104687483,1.05510660017329,0.937323564516911,0.861976536037238,1.15966647514763,3.82769532241308,1.76866477799337,2.09482737101321,1.20904899005794,1.03450333219363,0.916043757307513,0,0.78845736036427,0.937323564516911,1.88178517335776,3.19343965968132
CA_Co_JR_PJ98_3,1.20904899005794,0.571879810245515,1.14005611857099,0.495490812237872,1.05510660017329,0.670921299274528,1.38281002646184,2.21825740997898,2.74949403100509,2.09482737101321,1.3631996698852,1.15966647514763,1.09836531410147,0.78845736036427,0,0.883256343246636,1.18863799279782,3.19343965968132
CA_Co_JR_PJ98_4,1.32666265070648,1.02085060684849,1.81217046648818,0.980829253011726,1.03798766685167,0.854188930144502,1.02085060684849,2.484906649788,1.81217046648818,2.13833305950803,0.947173029001578,0.579017854569455,1.36501455391049,0.937323564516911,0.883256343246636,0,1.92529086185258,1.98418237968077
CA_Co_JR_PJ98_5,1.58902691517397,1.60863727175061,2.09985253893996,1.56861591791385,1.56861591791385,1.54733611070445,1.34627300728312,1.79175946922805,2.28217409573392,2.54379816761619,1.58902691517397,1.2721650351294,1.54733611070445,1.88178517335776,1.18863799279782,1.92529086185258,0,3.23694534817614
CA_Co_JR_PJ98_6,NA,3.27696670201291,3.25735634543627,3.23694534817614,2.54379816761619,2.11705325229863,3.27696670201291,1.36514317127455,1.17791480375643,1.21639532432449,2.15874405676816,1.48520723278485,3.90881272152668,3.19343965968132,3.19343965968132,1.98418237968077,3.23694534817614,0
